spotify_id,echonest_id,title,echonest_artist_id,artist_name,album,duration,tempo,time_signature,key,mode,loudness,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,spotify_artist_id
7GyDcM22nxCJHcQa11fbYk,SOKGKAY14B767C93FE,Where the Sky Hangs,AR6PFD411C8A416424,Passion Pit,,230.97333,108.989,4,8,1,-6.423,0.033636,0.819273,0.680817,2e-06,0.100177,0.030817,0.928958,7gjAu1qr5C2grXeQFFOGeh
0zOn9umVAP1HwtWAbApuFB,SODLZUR14C890BE9DA,Looks Like Rain,AR6PFD411C8A416424,Passion Pit,,235.29333,187.717,4,0,1,-5.736,0.01667,0.385031,0.710787,0.0,0.10966,0.058757,0.331246,7gjAu1qr5C2grXeQFFOGeh
42Q2bLdqv3DAB2gKRMO5Jo,SOIMOCR14C890BEE36,Ten Feet Tall (II),AR6PFD411C8A416424,Passion Pit,,144.56,131.65,4,4,1,-2.215,0.054331,0.17394,0.714364,4e-06,0.337899,0.03869,0.434938,7gjAu1qr5C2grXeQFFOGeh
1YmKdg7Lnuox0gCd93aq0I,SOWIATG14CF5457975,Lifted Up (1985) - Glitter and Strobe Lights in Slo-Mo Version [w/ post edits],AR6PFD411C8A416424,Passion Pit,,241.37333,130.586,3,2,1,-6.047,0.075327,0.291473,0.473983,0.006987,0.09758,0.028924,0.204015,7gjAu1qr5C2grXeQFFOGeh
4iw5Zh3RG6t9VmLEMTTn9W,SOZXPVO14B0A6F7997,Upswing,ARUJKCQ143C5FCF744,Prinze George,,283.0,97.002,4,2,1,-6.397,0.001479,0.614322,0.53622,0.121873,0.080836,0.028922,0.429298,3o6TKTQIu0lCYcNtSO3i1G
20of8diDq9yZ8MjyJ4FMDM,SOPTPAJ143D3246152,Victor,ARUJKCQ143C5FCF744,Prinze George,,188.33333,143.999,4,7,1,-4.967,0.338071,0.725628,0.756338,0.152236,0.083942,0.034553,0.567658,3o6TKTQIu0lCYcNtSO3i1G
6G73NC0L85SNM6xU6vYsAn,SOTXEYY14C03610619,Cable,ARHNFQG12D5CD70F4D,Reptar,,233.45002,133.999,4,4,0,-4.109,0.013919,0.696027,0.827224,0.002323,0.072532,0.066134,0.633979,5dMNVzCPRLL5QUGvvrNW9P
34LvsptmCl7NIo7Sig4F8S,SORTHRS14C03614E5F,Every Chance I Get,ARHNFQG12D5CD70F4D,Reptar,,210.21955,126.091,4,7,1,-5.279,0.038515,0.601822,0.7343,4.8e-05,0.252723,0.028649,0.287928,5dMNVzCPRLL5QUGvvrNW9P
7neW9n5AGwyt1VmJNJJejl,SOVVTKC14C036177DC,Daily Season,ARHNFQG12D5CD70F4D,Reptar,,230.29964,113.974,4,0,1,-7.683,0.239552,0.669478,0.73191,0.000631,0.686246,0.039466,0.387437,5dMNVzCPRLL5QUGvvrNW9P
2t6NVwI5ZauPZNwKuoHmgu,SOHUTVU14C0361844B,Particle Board,ARHNFQG12D5CD70F4D,Reptar,,303.50413,180.04,4,0,1,-5.827,0.012099,0.582961,0.821107,0.150437,0.323362,0.056751,0.512232,5dMNVzCPRLL5QUGvvrNW9P
7BNYkuwEdL0elRleIEgq91,SOFPICQ1499A804DDF,Passenger,ARI21QT1187B98A4BD,Royal,,195.69229,130.01,4,8,1,-6.731,0.031408,0.430079,0.718395,0.001611,0.377991,0.064412,0.310067,4WwhRZwDifH3KuPMGXKrTB
0MIoMz6wKPIZbklYnXsCCa,SOSQRSA14A411C4D59,Round Two,ARI21QT1187B98A4BD,Royal,,168.31864,160.028,4,0,0,-4.585,0.220125,0.590122,0.828495,0.0,0.176598,0.091621,0.7786,4WwhRZwDifH3KuPMGXKrTB
2Iq6HhIquO7JKr0KfTNLzU,SOIDQHU146F2AFDDF9,My Type,AROTDBE1241B9C4EED,Saint Motel,,206.39374,118.0,4,10,1,-2.94,0.064135,0.596221,0.896977,5.2e-05,0.062838,0.046229,0.572247,1dWEYMPtNmvSVaDNLgB6NV
2apbKPjFefk1JtsENoEGDT,SOHWULB14AFAE37163,Everything We Touch,ARFVGEJ13C41A2FA96,Say Lou Lou,,229.92,98.581,4,5,0,-6.981,0.00446,0.531202,0.706732,0.0,0.081485,0.025531,0.336868,0flVPOQPuTboUwEtzPk6vj
7lwYGjS8XQnReH8D73zlnu,SOEECZG14AFAE50CD4,Nothing but a Heartbeat,ARFVGEJ13C41A2FA96,Say Lou Lou,,220.50667,114.98,4,8,0,-5.887,0.005409,0.548235,0.769039,1e-06,0.321178,0.037755,0.313418,0flVPOQPuTboUwEtzPk6vj
1Hh9CxcCt5QBQi02yjLzSC,SOLLLZY144BD250C28,Day by Day,ARESJVB13BDAE33B8D,Sons Et Al,,202.14943,124.101,4,9,0,-8.868,0.07368,0.524656,0.46643,0.696838,0.079915,0.037851,0.16412,1ql7PV2TyCrESisqujGyXM
08a6PhXyXeN3lv1DCKW9qY,SOJPANQ146F37A9B91,Do You,ARRX8P01187B99B26E,Spoon,,212.65333,128.102,4,4,1,-2.175,0.081837,0.673116,0.936863,0.000426,0.210857,0.026986,0.93248,0K1q0nXQ8is36PzOKAMbNe
1zRbSrZn5whP8z4F6hWORg,SOPBOYR1419D9E6F36,Excalibur,AR13OIG1187FB4C2EA,TEAM,,201.0673,167.971,4,11,0,-5.103,1.1e-05,0.441663,0.849532,0.000204,0.303813,0.041412,0.207489,3QWpuusBD9AqB7k1Lad2Qs
492lGlcSdSDsP9KKcGDSih,SOYJXEI14874737568,Stay,AR13OIG1187FB4C2EA,TEAM,,191.00499,89.997,4,9,1,-9.563,0.443631,0.582759,0.649994,0.18068,0.101817,0.035927,0.636021,3QWpuusBD9AqB7k1Lad2Qs
0yixe2v2gvdFjjkYksdITQ,SOQMBMI149896656CE,Lana Del Dre,ARKULOY14621F0785F,Tep No,,229.97043,130.066,4,5,0,-6.551,0.148574,0.643449,0.505764,0.003358,0.140922,0.026531,0.457579,7MlotYZhHjOlXcvmwrITj8
52ClUfIi4uACblVz4UenGs,SOAFVFQ14AF14C3FC5,That's My Shit,ARSA4701187FB571FF,The-Dream,,241.06934,94.511,4,1,0,-10.729,0.04922,0.748445,0.325988,0.0,0.085309,0.101938,0.214918,1W3FSF1BLpY3hlVIgvenLz
